iterations,fitness_level
0,150.3222231549277
1,150.3222231549277
2,150.3222231549277
3,141.95505480281224
4,141.95505480281224
5,141.95505480281224
6,141.95505480281224
7,141.95505480281224
8,141.95505480281224
9,141.95505480281224
10,141.95505480281224
11,141.95505480281224
12,136.23621348914634
13,136.23621348914634
14,136.23621348914634
15,136.23621348914634
16,136.23621348914634
17,136.23621348914634
18,136.23621348914634
19,136.23621348914634
20,136.23621348914634
21,136.23621348914634
22,136.23621348914634
23,136.23621348914634
24,136.23621348914634
25,136.23621348914634
26,136.23621348914634
27,136.23621348914634
28,136.23621348914634
29,136.23621348914634
30,136.23621348914634
31,136.23621348914634
32,136.23621348914634
33,116.67264710899696
34,116.67264710899696
35,116.67264710899696
36,116.67264710899696
37,116.67264710899696
38,116.67264710899696
39,116.67264710899696
40,116.67264710899696
41,116.67264710899696
42,116.67264710899696
43,116.67264710899696
44,116.67264710899696
45,116.67264710899696
46,116.67264710899696
47,116.67264710899696
48,116.67264710899696
49,116.67264710899696
50,116.67264710899696
51,116.67264710899696
52,116.67264710899696
53,116.67264710899696
54,116.67264710899696
55,116.67264710899696
56,116.67264710899696
57,116.67264710899696
58,116.67264710899696
59,116.67264710899696
60,116.67264710899696
61,116.67264710899696
62,116.67264710899696
63,116.67264710899696
64,116.67264710899696
65,116.67264710899696
66,116.67264710899696
67,116.67264710899696
68,116.67264710899696
69,116.67264710899696
70,116.67264710899696
71,116.67264710899696
72,116.67264710899696
73,116.67264710899696
74,116.67264710899696
75,116.67264710899696
76,70.61594552790946
77,70.61594552790946
78,69.6305184723724
79,69.6305184723724
80,69.6305184723724
81,64.45554773423481
82,64.45554773423481
83,64.45554773423481
84,64.45554773423481
85,64.45554773423481
86,64.45554773423481
87,64.45554773423481
88,64.45554773423481
89,64.45554773423481
90,64.45554773423481
91,64.45554773423481
92,64.45554773423481
93,64.45554773423481
94,64.45554773423481
95,64.45554773423481
96,64.45554773423481
97,64.45554773423481
98,64.45554773423481
99,64.45554773423481
