iterations,fitness_level
0,0.9843362968015477
1,0.9670570515223684
2,0.9670570515223684
3,0.9544419082924877
4,0.9544419082924877
5,0.9544419082924877
6,0.9544419082924877
7,0.9544419082924877
8,0.9544419082924877
9,0.9544419082924877
10,0.9544419082924877
11,0.9544419082924877
12,0.9544419082924877
13,0.9544419082924877
14,0.9544419082924877
15,0.9544419082924877
16,0.9544419082924877
17,0.9544419082924877
18,0.9544419082924877
19,0.9544419082924877
20,0.9544419082924877
21,0.9544419082924877
22,0.9544419082924877
23,0.9544419082924877
24,0.9544419082924877
25,0.9544419082924877
26,0.9544419082924877
27,0.9544419082924877
28,0.9544419082924877
29,0.9544419082924877
30,0.9544419082924877
31,0.9544419082924877
32,0.9544419082924877
33,0.9544419082924877
34,0.9544419082924877
35,0.9544419082924877
36,0.9544419082924877
37,0.9544419082924877
38,0.9544419082924877
39,0.9544419082924877
40,0.9544419082924877
41,0.9544419082924877
42,0.9312229104735091
43,0.9312229104735091
44,0.9312229104735091
45,0.9312229104735091
46,0.9312229104735091
47,0.9312229104735091
48,0.9312229104735091
49,0.9312229104735091
50,0.9312229104735091
51,0.9312229104735091
52,0.6445243772922538
53,0.6445243772922538
54,0.6445243772922538
55,0.6445243772922538
56,0.6445243772922538
57,0.6445243772922538
58,0.6445243772922538
59,0.6445243772922538
60,0.6445243772922538
61,0.6445243772922538
62,0.6445243772922538
63,0.6445243772922538
64,0.6445243772922538
65,0.6445243772922538
66,0.6445243772922538
67,0.6445243772922538
68,0.6445243772922538
69,0.6445243772922538
70,0.6445243772922538
71,0.6445243772922538
72,0.6445243772922538
73,0.6445243772922538
74,0.6445243772922538
75,0.6445243772922538
76,0.6445243772922538
77,0.6445243772922538
78,0.6445243772922538
79,0.6445243772922538
80,0.6445243772922538
81,0.6445243772922538
82,0.6445243772922538
83,0.6445243772922538
84,0.6445243772922538
85,0.6445243772922538
86,0.6445243772922538
87,0.6373165844954833
88,0.6373165844954833
89,0.6373165844954833
90,0.6373165844954833
91,0.6373165844954833
92,0.6373165844954833
93,0.6373165844954833
94,0.6373165844954833
95,0.6373165844954833
96,0.6373165844954833
97,0.6373165844954833
98,0.6373165844954833
99,0.6373165844954833
