iterations,fitness_level
0,60.80987136516145
1,60.80987136516145
2,60.80987136516145
3,60.80987136516145
4,60.80987136516145
5,60.80987136516145
6,60.80987136516145
7,60.80987136516145
8,60.80987136516145
9,60.80987136516145
10,60.80987136516145
11,60.80987136516145
12,60.80987136516145
13,60.80987136516145
14,48.79727909082186
15,48.79727909082186
16,48.79727909082186
17,48.79727909082186
18,48.79727909082186
19,48.79727909082186
20,48.79727909082186
21,48.79727909082186
22,48.79727909082186
23,48.79727909082186
24,48.79727909082186
25,48.79727909082186
26,48.79727909082186
27,48.79727909082186
28,48.79727909082186
29,48.79727909082186
30,48.79727909082186
31,48.79727909082186
32,48.79727909082186
33,48.79727909082186
34,48.79727909082186
35,48.79727909082186
36,48.79727909082186
37,48.79727909082186
38,48.79727909082186
39,48.79727909082186
40,48.79727909082186
41,48.79727909082186
42,48.79727909082186
43,48.79727909082186
44,48.79727909082186
45,48.79727909082186
46,48.79727909082186
47,48.79727909082186
48,48.79727909082186
49,48.79727909082186
50,48.79727909082186
51,48.79727909082186
52,48.79727909082186
53,48.79727909082186
54,48.79727909082186
55,48.79727909082186
56,48.79727909082186
57,48.79727909082186
58,48.79727909082186
59,48.79727909082186
60,48.79727909082186
61,48.79727909082186
62,48.79727909082186
63,48.79727909082186
64,48.79727909082186
65,48.79727909082186
66,48.79727909082186
67,39.016133510248196
68,39.016133510248196
69,39.016133510248196
70,33.91851975933628
71,33.91851975933628
72,33.91851975933628
73,33.91851975933628
74,20.89324970779781
75,20.89324970779781
76,20.89324970779781
77,20.89324970779781
78,20.057236442770737
79,20.057236442770737
80,20.057236442770737
81,20.057236442770737
82,20.057236442770737
83,20.057236442770737
84,20.057236442770737
85,20.057236442770737
86,20.057236442770737
87,20.057236442770737
88,20.057236442770737
89,20.057236442770737
90,20.057236442770737
91,20.057236442770737
92,20.057236442770737
93,20.057236442770737
94,20.057236442770737
95,20.057236442770737
96,20.057236442770737
97,19.987192900081812
98,19.987192900081812
99,19.987192900081812
