iterations,fitness_level
0,261.2917243186181
1,261.2917243186181
2,261.2917243186181
3,261.2917243186181
4,232.04170983892826
5,223.48889861488198
6,223.48889861488198
7,223.48889861488198
8,223.48889861488198
9,223.48889861488198
10,223.48889861488198
11,223.48889861488198
12,223.48889861488198
13,205.1487638350079
14,205.1487638350079
15,205.1487638350079
16,205.1487638350079
17,205.1487638350079
18,205.1487638350079
19,205.1487638350079
20,205.1487638350079
21,205.1487638350079
22,205.1487638350079
23,205.1487638350079
24,205.1487638350079
25,205.1487638350079
26,205.1487638350079
27,205.1487638350079
28,205.1487638350079
29,170.6787803188044
30,170.6787803188044
31,170.6787803188044
32,170.6787803188044
33,170.6787803188044
34,170.6787803188044
35,170.6787803188044
36,170.6787803188044
37,170.6787803188044
38,170.6787803188044
39,170.6787803188044
40,170.6787803188044
41,170.6787803188044
42,170.6787803188044
43,170.6787803188044
44,170.6787803188044
45,170.6787803188044
46,170.6787803188044
47,170.6787803188044
48,170.6787803188044
49,170.6787803188044
50,170.6787803188044
51,170.6787803188044
52,170.6787803188044
53,170.6787803188044
54,170.6787803188044
55,170.6787803188044
56,170.6787803188044
57,170.6787803188044
58,170.6787803188044
59,170.6787803188044
60,170.6787803188044
61,170.6787803188044
62,170.6787803188044
63,170.6787803188044
64,170.6787803188044
65,170.6787803188044
66,170.6787803188044
67,170.6787803188044
68,170.6787803188044
69,170.6787803188044
70,170.6787803188044
71,157.13506919200557
72,157.13506919200557
73,157.13506919200557
74,157.13506919200557
75,157.13506919200557
76,157.13506919200557
77,157.13506919200557
78,157.13506919200557
79,157.13506919200557
80,157.13506919200557
81,157.13506919200557
82,157.13506919200557
83,157.13506919200557
84,157.13506919200557
85,157.13506919200557
86,157.13506919200557
87,157.13506919200557
88,157.13506919200557
89,157.13506919200557
90,157.13506919200557
91,157.13506919200557
92,157.13506919200557
93,155.05851885865593
94,151.640848987185
95,151.640848987185
96,143.98739471902917
97,143.98739471902917
98,143.98739471902917
99,143.98739471902917
